TStamp Australia/Sydney	Latitude [deg]	Longitude [deg]	Altitude [above WGS84]	Accuracy [m 68% confidence radius]
1487834855999	-37.814246	145.160780	NaN	19.635000
1487834857000	-37.814260	145.160880	103.500000	7.000000
1487834859000	-37.814288	145.160882	106.900000	5.400000
1487834860000	-37.814285	145.160877	107.400000	5.900000
1487834861000	-37.814273	145.160865	108.200000	5.900000
1487834862000	-37.814268	145.160847	108.800000	5.800000
1487834863000	-37.814265	145.160835	109.800000	5.800000
1487834864000	-37.814240	145.160843	105.700000	5.700000
1487834865000	-37.814208	145.160853	100.100000	5.700000
1487834866000	-37.814197	145.160848	97.900000	5.600000
1487834867000	-37.814207	145.160848	97.600000	5.600000
1487834868000	-37.814223	145.160832	100.000000	5.600000
1487834869000	-37.814225	145.160818	98.900000	5.500000
1487834870000	-37.814223	145.160813	97.700000	5.500000
1487834871000	-37.814242	145.160795	99.700000	5.500000
1487834873000	-37.814238	145.160802	100.600000	5.500000
1487834874000	-37.814235	145.160805	101.000000	5.500000
1487834875000	-37.814232	145.160805	102.000000	5.500000
1487834876000	-37.814237	145.160803	102.700000	5.500000
1487834877000	-37.814245	145.160798	104.100000	5.400000
1487834878000	-37.814247	145.160798	104.900000	5.400000
1487834879000	-37.814245	145.160798	105.000000	5.400000
1487834880000	-37.814243	145.160803	105.400000	5.400000
1487834881000	-37.814247	145.160802	105.800000	5.400000
1487834882000	-37.814255	145.160798	106.200000	5.400000
1487834883000	-37.814260	145.160798	106.700000	5.400000
1487834884000	-37.814260	145.160795	107.300000	5.400000
1487834885000	-37.814260	145.160793	107.500000	5.500000
1487834886000	-37.814258	145.160792	107.900000	5.500000
1487834887000	-37.814258	145.160795	108.100000	5.500000
1487834888000	-37.814262	145.160802	108.400000	5.500000
1487834889000	-37.814267	145.160803	108.500000	5.500000
1487834890000	-37.814270	145.160803	108.700000	5.500000
1487834891000	-37.814270	145.160803	108.700000	5.500000
1487834892000	-37.814270	145.160803	108.700000	5.500000
1487834893000	-37.814270	145.160803	108.700000	5.500000
1487834894000	-37.814270	145.160803	108.700000	5.500000
1487834895000	-37.814270	145.160803	108.700000	5.600000
1487834896000	-37.814270	145.160803	108.700000	5.600000
1487834897000	-37.814270	145.160803	108.700000	5.600000
1487834898000	-37.814270	145.160803	108.700000	5.600000
1487834899000	-37.814270	145.160803	108.700000	5.600000
1487834900000	-37.814270	145.160803	108.700000	5.600000
1487834901000	-37.814270	145.160803	108.700000	5.500000
1487834902000	-37.814270	145.160803	108.700000	5.500000
1487834903000	-37.814270	145.160803	108.700000	5.500000
1487834904000	-37.814270	145.160803	108.700000	5.500000
1487834905000	-37.814270	145.160803	108.700000	5.500000
1487834906000	-37.814270	145.160803	108.700000	5.500000
1487834907000	-37.814252	145.160753	113.100000	5.500000
1487834908000	-37.814248	145.160757	113.200000	5.500000
1487834909000	-37.814245	145.160755	113.400000	5.500000
1487834910000	-37.814243	145.160753	113.500000	5.500000
1487834911000	-37.814245	145.160760	113.800000	5.500000
