TStamp Australia/Hobart	Latitude [deg]	Longitude [deg]	Altitude [above WGS84]	Accuracy [m 68% confidence radius]	Speed [m/s]	Bearing [deg]
1503649358000	-37.814292	145.160673	69.700000	6.300000	0.730906	33.270000
1503649359000	-37.814297	145.160642	81.400000	5.300000	0.632079	34.939999
1503649361000	-37.814293	145.160633	98.000000	5.800000	0.480751	35.630001
1503649362000	-37.814292	145.160637	100.900000	5.700000	0.208977	35.630001
1503649363000	-37.814290	145.160640	101.800000	5.700000	0.000000	35.630001
1503649364000	-37.814277	145.160657	105.300000	5.600000	0.346923	118.580002
1503649365000	-37.814267	145.160662	106.500000	5.600000	0.380894	92.220001
1503649366000	-37.814258	145.160673	107.000000	5.600000	0.000000	92.220001
1503649367000	-37.814260	145.160675	107.900000	5.600000	0.000000	92.220001
1503649368000	-37.814257	145.160678	108.900000	5.600000	0.000000	92.220001
1503649369000	-37.814252	145.160688	109.500000	5.600000	0.000000	92.220001
1503649370000	-37.814240	145.160700	110.400000	5.600000	0.000000	92.220001
1503649371000	-37.814203	145.160733	110.500000	5.500000	1.541078	4.000000
1503649372000	-37.814145	145.160742	116.100000	5.400000	3.377093	0.690000
1503649373000	-37.814102	145.160752	117.000000	5.400000	4.101821	7.190000
1503649374000	-37.814062	145.160758	117.800000	5.400000	4.363300	7.080000
1503649375000	-37.814022	145.160773	117.500000	5.400000	4.696840	12.600000
1503649376000	-37.813982	145.160783	117.100000	5.400000	4.474480	8.990000
1503649377000	-37.813942	145.160795	117.000000	5.400000	4.574851	10.960000
1503649378000	-37.813900	145.160802	117.800000	5.400000	3.582981	2.860000
1503649379000	-37.813870	145.160802	117.900000	5.400000	3.779605	5.060000
1503649380000	-37.813840	145.160803	118.100000	5.400000	4.001451	357.760010
1503649381000	-37.813808	145.160783	119.800000	5.400000	4.156897	325.809998
1503649382000	-37.813790	145.160738	120.800000	5.400000	4.296901	291.079987
1503649383000	-37.813777	145.160683	121.000000	5.400000	4.423523	282.290009
1503649384000	-37.813765	145.160617	121.100000	5.400000	4.573307	279.079987
1503649385000	-37.813758	145.160553	121.400000	5.400000	4.627353	274.940002
1503649386000	-37.813750	145.160490	120.500000	5.400000	4.665957	277.149994
1503649387000	-37.813737	145.160423	120.300000	5.400000	4.808020	283.959991
1503649388000	-37.813725	145.160353	120.100000	5.400000	4.954716	281.329987
1503649389000	-37.813713	145.160283	119.900000	5.400000	5.225975	279.190002
1503649390000	-37.813698	145.160208	119.900000	5.400000	5.475615	280.549988
1503649391000	-37.813683	145.160135	119.800000	5.400000	5.695916	282.700012
1503649392000	-37.813677	145.160062	119.600000	5.400000	5.843641	273.459991
1503649393000	-37.813675	145.159993	119.300000	5.400000	5.890996	273.420013
1503649394000	-37.813662	145.159922	119.000000	5.400000	5.928571	283.160004
1503649395000	-37.813655	145.159848	118.900000	5.400000	6.034089	280.040009
1503649396000	-37.813648	145.159780	118.700000	5.400000	6.142695	279.049988
1503649397000	-37.813640	145.159723	118.400000	5.400000	6.031000	279.380005
1503649398000	-37.813630	145.159673	118.400000	5.400000	5.895113	285.570007
1503649399000	-37.813623	145.159627	118.300000	5.400000	5.753050	275.890015
1503649400000	-37.813638	145.159577	118.200000	5.400000	5.558486	249.429993
