TStamp Europe/Helsinki	Latitude [deg]	Longitude [deg]	Altitude [above WGS84]	Accuracy [m 68% confidence radius]	Speed [m/s]	Bearing [deg]
1515235578249	62,259718	25,691421	159,233768	32,000000	1,156999	NaN
1515235579239	62,259600	25,691234	162,377950	24,000000	1,426931	NaN
1515235581260	62,259611	25,691226	167,460067	48,000000	0,397925	NaN
1515235582272	62,259728	25,691079	182,665845	16,000000	0,117866	NaN
1515235583319	62,259753	25,691140	190,579392	32,000000	0,156853	NaN
1515235584258	62,259903	25,691472	260,069651	16,000000	0,000000	NaN
1515235585252	62,259911	25,691420	253,680638	16,000000	0,000000	NaN
1515235586920	62,259917	25,691342	244,209950	16,000000	0,000000	NaN
1515235587936	62,259911	25,691313	240,726340	12,000000	0,000000	NaN
1515235588944	62,259906	25,691268	237,015966	12,000000	0,000000	NaN
1515235589940	62,259898	25,691225	233,838754	12,000000	0,000000	NaN
1515235590927	62,259889	25,691184	231,133748	12,000000	0,000000	NaN
1515235591923	62,259880	25,691179	230,119833	12,000000	0,000000	NaN
1515235592923	62,259867	25,691175	230,260353	12,000000	0,000000	NaN
1515235593943	62,259862	25,691173	229,283122	8,000000	1,002323	NaN
1515235594943	62,259867	25,691148	228,642524	8,000000	1,827845	NaN
1515235595943	62,259894	25,691100	225,288880	8,000000	2,451380	NaN
1515235596927	62,259923	25,691057	223,105800	8,000000	2,797144	NaN
1515235597944	62,259947	25,691016	221,211892	6,000000	2,646379	NaN
1515235598926	62,259966	25,690995	218,938702	6,000000	2,447518	297,822510
1515235599939	62,259974	25,690962	216,301733	6,000000	2,709810	314,347717
1515235600943	62,259990	25,690920	214,211495	6,000000	3,290659	314,638000
1515235601943	62,260006	25,690867	213,543548	8,000000	3,678458	313,914093
1515235602934	62,260019	25,690814	209,817299	8,000000	3,436663	313,116058
1515235603933	62,260025	25,690771	205,470954	8,000000	3,216532	313,527100
1515235604934	62,260036	25,690733	201,751954	8,000000	3,064537	314,428436
1515235605952	62,260045	25,690697	198,882346	6,000000	2,848511	306,969055
1515235606931	62,260050	25,690657	196,797281	6,000000	2,529769	314,246979
1515235607950	62,260056	25,690624	195,558371	6,000000	2,243401	323,376526
1515235608938	62,260062	25,690602	194,114257	6,000000	1,912781	320,849335
1515235609952	62,260067	25,690586	192,830336	6,000000	1,661474	313,836426
1515235610951	62,260072	25,690568	192,698914	6,000000	1,615972	318,189240
1515235611951	62,260081	25,690548	193,400544	6,000000	1,651740	330,900574
1515235612947	62,260086	25,690534	193,391308	6,000000	1,415439	323,759827
1515235613935	62,260087	25,690518	193,364740	6,000000	1,225908	325,967102
1515235614960	62,260096	25,690500	193,365415	4,000000	1,138834	310,862823
1515235615953	62,260107	25,690464	193,371002	4,000000	1,114975	309,690796
1515235616953	62,260111	25,690448	193,366096	6,000000	1,122332	312,657074
1515235617953	62,260117	25,690417	193,368102	6,000000	1,138935	312,894012
1515235618962	62,260126	25,690390	193,380428	6,000000	1,164822	311,765472
